"";"Nome";"Nome_mae";"DT_NASC";"Banco_nome";"Teste_X";"Teste_Y"
"1";"Rene Flores Garcia";"Maria";2000-01-27;"Banco_1";"X";"Y"
"2";"Jaime Hernandez Espinosa";"Jeanette";2000-01-17;"Banco_1";"X";"Y"
"3";"Angelina Anita Barriga";"Kayra";2000-01-28;"Banco_1";"X";"Y"
"4";"Juana Soto";"Ashley";2000-01-22;"Banco_1";"X";"Y"
"5";"Jessania Welsh";"Janessalizae";2000-01-01;"Banco_1";"X";"Y"
"6";"Joshua Olivas";"Irma";2000-01-09;"Banco_1";"X";"Y"
"7";"Alejandra Sena";"Yvonne";2000-01-30;"Banco_1";"X";"Y"
"8";"Jordan Ingham";"Valerie";2000-01-02;"Banco_1";"X";"Y"
"9";"Irene Ortiz";"Calindy";2000-01-16;"Banco_1";"X";"Y"
"10";"Jolena Rodriguez Ramirez";"Michelle";2000-01-20;"Banco_1";"X";"Y"
"11";"Monica Vargas";"Flor";2000-01-27;"Banco_1";"X";"Y"
"12";"Louriah Nobles";"Yesenia";2000-01-17;"Banco_1";"X";"Y"
"13";"Kenia Novoa Saravia";"Jena";2000-01-28;"Banco_1";"X";"Y"
"14";"Lucero Alvarado Jr";"Andrea";2000-01-22;"Banco_1";"X";"Y"
"15";"Jaime Valles";"Lourdes";2000-01-01;"Banco_1";"X";"Y"
"16";"Aaron Cordova";"Mia";2000-01-09;"Banco_1";"X";"Y"
"17";"Amanda Tapia";"Yajaira";2000-01-30;"Banco_1";"X";"Y"
"18";"Graciela Gonzalez Cardenas";"Jahayra";2000-01-02;"Banco_1";"X";"Y"
"19";"Israel Ruiz";"Janae";2000-01-16;"Banco_1";"X";"Y"
"20";"Adrian Mayorga";"Destiney";2000-01-20;"Banco_1";"X";"Y"
"21";"Deion Mercado";"Victoria";2000-01-27;"Banco_1";"X";"Y"
"22";"Crystal Fajardo Riascos";"Marcela";2000-01-17;"Banco_1";"X";"Y"
"23";"Shaunta Zamarripa";"Kassidy";2000-01-28;"Banco_1";"X";"Y"
"24";"Mia Herrera Perez";"Jazmin";2000-01-22;"Banco_1";"X";"Y"
"25";"Jose Garcia";"Alejandra";2000-01-01;"Banco_1";"X";"Y"
"26";"Abreaze Franco Aguilar";"Izamary";2000-01-09;"Banco_1";"X";"Y"
"27";"Natalie Pino";"Andrea";2000-01-30;"Banco_1";"X";"Y"
"28";"Jocelyn Saucedo Casillas";"Heather";2000-01-02;"Banco_1";"X";"Y"
"29";"Stephen Mendoza";"Perla";2000-01-16;"Banco_1";"X";"Y"
"30";"Tristin Tena";"Yessica";2000-01-20;"Banco_1";"X";"Y"
"31";"Christian Robles";"Eve";2000-01-27;"Banco_1";"X";"Y"
"32";"Naomi Martinez";"Samantha";2000-01-17;"Banco_1";"X";"Y"
"33";"Cisco De Dios";"Sylvia";2000-01-28;"Banco_1";"X";"Y"
"34";"Ashley Baker Rodriquez";"Clarissa";2000-01-22;"Banco_1";"X";"Y"
"35";"Aaron Camacho";"Breanna";2000-01-01;"Banco_1";"X";"Y"
"36";"Elizabeth Mesa";"Casandra";2000-01-09;"Banco_1";"X";"Y"
"37";"Leticia Garcia Duran";"Elizabeth";2000-01-30;"Banco_1";"X";"Y"
"38";"Francisco Hernandez";"Monique";2000-01-02;"Banco_1";"X";"Y"
"39";"Sandra Zumbach";"Michaela";2000-01-16;"Banco_1";"X";"Y"
"40";"Samantha Bledsoe";"Daisy";2000-01-20;"Banco_1";"X";"Y"
"41";"Rene Patron";"Julissa";2000-01-27;"Banco_1";"X";"Y"
"42";"Irving Fowler";"Julyssa";2000-01-17;"Banco_1";"X";"Y"
"43";"Joel Shannon";"Keila";2000-01-28;"Banco_1";"X";"Y"
"44";"Anthony Solorio Perez";"Rebecca";2000-01-22;"Banco_1";"X";"Y"
"45";"Kayla Salazar";"Maria";2000-01-01;"Banco_1";"X";"Y"
"46";"Armando Gutierrez";"Hannah";2000-01-09;"Banco_1";"X";"Y"
"47";"Roberto Chavez Chavira";"Patricia";2000-01-30;"Banco_1";"X";"Y"
"48";"Justin Villalobos Lopez";"Adriana";2000-01-02;"Banco_1";"X";"Y"
"49";"Michael Perez";"Danielle";2000-01-16;"Banco_1";"X";"Y"
"50";"Isaias Parada";"Marycarmen";2000-01-20;"Banco_1";"X";"Y"
"51";"Lauren Quintana";"Tiffany";2000-01-27;"Banco_1";"X";"Y"
"52";"Adriana Bugarin";"Erin";2000-01-17;"Banco_1";"X";"Y"
"53";"Shanya Gutierrez";"Angel";2000-01-28;"Banco_1";"X";"Y"
"54";"Blake Mora Rojas";"Brittany";2000-01-22;"Banco_1";"X";"Y"
"55";"Coraima Tucker";"Jasmyne";2000-01-01;"Banco_1";"X";"Y"
"56";"Mitchell Arriaga";"Jessica";2000-01-09;"Banco_1";"X";"Y"
"57";"Jenifer Rubio";"Arieanna";2000-01-30;"Banco_1";"X";"Y"
"58";"Jordan Granillo";"Airel";2000-01-02;"Banco_1";"X";"Y"
"59";"Cari Denova";"Raquel";2000-01-16;"Banco_1";"X";"Y"
"60";"Diana Camacho";"Jacqueline";2000-01-20;"Banco_1";"X";"Y"
"61";"Daniel Archuleta";"Karina";2000-01-27;"Banco_1";"X";"Y"
"62";"Monica Santistevan";"Dominique";2000-01-17;"Banco_1";"X";"Y"
"63";"Flor Lopez";"Jade";2000-01-28;"Banco_1";"X";"Y"
"64";"Jesus Rivera";"Marisa";2000-01-22;"Banco_1";"X";"Y"
"65";"Jose Stoltz";"Joanna";2000-01-01;"Banco_1";"X";"Y"
"66";"Andres Archuletta";"Ilea";2000-01-09;"Banco_1";"X";"Y"
"67";"Alec Almeda";"Clariza";2000-01-30;"Banco_1";"X";"Y"
"68";"Dominique Avila Otero";"Natalia";2000-01-02;"Banco_1";"X";"Y"
"69";"Carlos Cota";"Griselda";2000-01-16;"Banco_1";"X";"Y"
"70";"Deon Castillo";"Maria";2000-01-20;"Banco_1";"X";"Y"
"71";"Melquisedec Moreno Briseno";"Aurora";2000-01-27;"Banco_1";"X";"Y"
"72";"Adriana Hernandez Garcia";"Celica";2000-01-17;"Banco_1";"X";"Y"
"73";"Cheyenne Bahena Landa";"Venezia";2000-01-28;"Banco_1";"X";"Y"
